z dist z_err dist_err
1.036403353217838719e+00 8.196581376413375253e+00 2.200208989978122698e-01 1.055170046512383886e+00
1.072384443786781993e+00 9.295470436664006186e+00 2.154470214612074774e-01 9.966797299652494502e-01
2.036686608052256542e+00 1.138116887921573017e+01 2.658066974817261396e-01 1.719478633186059424e+00
1.396972673158819678e+00 1.004982799597599907e+01 2.698051498675028137e-01 1.784343124134518677e+00
3.859839965280713159e+00 3.246516907882266167e+01 4.258428914551489197e-01 5.207210116526293397e+00
2.273333327619709188e+00 1.839246005683640917e+01 3.341511400598974890e-01 2.982505078918778363e+00
1.790300109816576057e+00 1.135960049482302026e+01 2.423832382927697260e-01 1.361670112592675341e+00
2.126626337526807742e+00 1.922136397817946829e+01 3.590741827888999094e-01 3.526041870882941964e+00
1.685032173345566209e+00 1.249488336733973348e+01 2.661837766922571236e-01 1.725548434391869446e+00
2.090647252286696123e+00 1.567015417978464420e+01 2.892246143817989723e-01 2.115198819571122879e+00
4.592443473455829483e+00 2.849894464632840041e+01 5.325337244721529695e-01 8.596457902928838379e+00
1.551856556313316871e+00 1.452693190960050984e+01 2.710394634508240808e-01 1.804590695532091615e+00
1.557702325614543248e+00 1.245189961617655250e+01 2.920573228506856966e-01 2.165664507410006046e+00
1.015686356271707114e+00 7.909295274133417486e+00 1.954939633265820043e-01 7.581611640473610025e-01
2.548132715044956420e+00 2.396268844991092095e+01 3.879771536727018577e-01 4.213175378035277419e+00
1.695762982050389445e+00 7.596000208242651652e+00 2.382417712494931394e-01 1.302329049192175514e+00
2.055726624923237544e+00 1.309344938110534073e+01 2.776125383026773474e-01 1.914198618305249733e+00
2.117860263569836476e+00 1.646789160276665243e+01 3.274451856987650178e-01 2.843915084123429082e+00
1.944675642188953280e+00 1.321075917430692925e+01 2.993766140556277655e-01 2.298672478587540979e+00
1.364406143152933293e+00 1.103841388159030323e+01 2.295983686165881110e-01 1.182260624470931054e+00
2.173541697938643935e+00 1.224076343772935793e+01 3.029857818716549245e-01 2.365649394109091475e+00
2.237554019056898547e+00 2.027523393263558305e+01 3.619703870125626777e-01 3.592131690090327290e+00
2.341114848562444450e+00 1.587624069098236035e+01 2.924008239100239770e-01 2.171822404086451552e+00
2.353607594802069602e+00 2.179416789326584691e+01 3.610195668409211800e-01 3.570366939986138188e+00
