z dist z_err dist_err
8.176569388895781332e-01 6.118895532318704866e+00 1.970228833539937052e-01 7.754801752894333600e-01
5.991413223346623296e-01 5.001215483375108128e+00 1.680054416954425145e-01 4.739981483750491109e-01
1.236002933617716515e+00 8.921855136004817055e+00 2.194998891189980650e-01 1.048435572999807386e+00
1.293719801018834659e+00 1.039646650897677382e+01 2.282005858766409934e-01 1.163322731948804423e+00
4.521972698901951526e-01 4.242148317635666466e+00 1.802241715527092003e-01 5.939284516322353991e-01
1.274233720358347588e+00 1.300556429507801326e+01 2.591616309394655926e-01 1.614128140955526369e+00
1.041373862902164049e+00 1.453455788677885785e+01 2.681851480867813997e-01 1.757929218864228371e+00
1.047159436351039252e+00 5.089786491510071897e+00 1.844683495905366510e-01 6.379801979618439089e-01
1.410789623354090416e+00 1.422154069884819449e+01 2.846713550674985771e-01 2.035259967347859078e+00
1.132564499763121457e+00 6.685700445686815208e+00 1.908098662767851172e-01 7.060918505920611432e-01
1.233348274700933223e+00 1.056824259227103902e+01 2.657860386529057872e-01 1.719146374957111645e+00
1.293687357595237231e+00 1.367078406235562760e+01 2.548254420465211889e-01 1.547026805078635991e+00
1.480815413752989640e+00 1.123699108460204421e+01 2.760266176053650655e-01 1.887477714050336264e+00
1.281370567678979056e+00 1.031202348992748696e+01 2.453636558188427852e-01 1.405102288174127745e+00
1.423432868341011792e+00 1.048353291613117300e+01 2.331071672869692302e-01 1.230387124569037205e+00
1.291383203716066630e+00 8.964449603183600956e+00 2.335018011922954662e-01 1.235852494044277439e+00
1.206329312745250792e+00 1.175335790493700650e+01 2.470876645558594265e-01 1.430503626170878340e+00
4.058820443712887749e-01 3.207787544941486324e+00 1.510547437464895004e-01 3.247134443858907815e-01
1.090831780115370186e+00 9.430638984003016034e+00 2.350252352516403465e-01 1.257050677299593300e+00
9.644881039826320723e-01 7.945939738625922288e+00 2.144040132486425554e-01 9.835411232367641254e-01
3.262005716927686150e-01 2.454551148620091272e+00 1.415596035804398412e-01 2.498969653672672431e-01
1.445577067250053416e+00 9.586658043719516797e+00 2.269640541175708681e-01 1.146680637033650196e+00
1.405205423636589845e+00 1.581542074733803283e+01 2.748376543079213419e-01 1.867559957614612909e+00
7.622557479072504805e-01 7.491146862707021015e+00 2.033204429257001733e-01 8.484925170209859369e-01
1.177788776382910907e+00 1.708243201476798845e+01 2.983939220988780505e-01 2.280595468683076277e+00
1.449762913037015322e+00 1.223946715690818188e+01 2.767879425067543697e-01 1.900283278575208845e+00
